latitude,longitude,angle_deg
-22.71333886658001,-47.628656066874846,297.5
-22.713338156862314,-47.62865566208177,298.0
-22.713337450430135,-47.62865525059003,298.5
-22.713336747337273,-47.62865483243098,299.0
-22.713336047637267,-47.62865440763646,299.5
-22.7133353513834,-47.62865397623881,300.0
-22.713334658628703,-47.628653538270896,300.5
-22.713333969425925,-47.62865309376607,301.0
-22.713333283827552,-47.62865264275817,301.5
-22.7133326018858,-47.62865218528155,302.0
-22.713331923652593,-47.62865172137105,302.5
-22.71333124917959,-47.628651251062,303.0
-22.71333057851815,-47.62865077439021,303.5
-22.713329911719345,-47.628650291391985,304.0
-22.71332924883396,-47.62864980210411,304.5
-22.71332858991247,-47.62864930656384,305.0
-22.71332793500506,-47.628648804808904,305.5
-22.7133272841616,-47.628648296877536,306.0
-22.713326637431653,-47.62864778280839,306.5
-22.713325994864476,-47.62864726264064,307.0
-22.713325356508996,-47.628646736413884,307.5
-22.71332472241383,-47.6286462041682,308.0
-22.713324092627268,-47.62864566594412,308.5
-22.713323467197267,-47.628645121782625,309.0
-22.713322846171458,-47.62864457172517,309.5
-22.713322229597136,-47.628644015813634,310.0
-22.713321617521252,-47.62864345409035,310.5
-22.71332100999042,-47.6286428865981,311.0
-22.713320407050908,-47.6286423133801,311.5
-22.713319808748626,-47.62864173448,312.0
-22.713319215129143,-47.628641149941885,312.5
-22.713318626237665,-47.62864055981028,313.0
-22.713318042119035,-47.628639964130116,313.5
-22.713317462817738,-47.62863936294676,314.0
-22.713316888377886,-47.62863875630599,314.5
-22.713316318843233,-47.628638144254005,315.0
-22.713315754257145,-47.62863752683742,315.5
-22.71331519466262,-47.62863690410325,316.0
