ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
198	1	-2.271.339.981.816.700	-47.628.649.827.092.800	54.712.744.140.625	2025-04-25T19:04:19Z																				
199	1	-22.713.331.757.113.300	-47.628.589.728.847.100	54.712.744.140.625	2025-04-25T19:04:24Z																				
200	1	-22.713.347.179.815.100	-47.628.495.097.160.300	5.466.468.505.859.370	2025-04-25T19:04:29Z																				
201	1	-2.271.342.127.583.920	-4.762.845.017.015.930	546.166.259.765.625	2025-04-25T19:04:34Z																				
202	1	-22.713.494.198.396.800	-4.762.848.244.048.650	54.712.744.140.625	2025-04-25T19:04:39Z																				
203	1	-2.271.352.244.541.040	-47.628.564.583.137.600	54.712.744.140.625	2025-04-25T19:04:44Z																				
204	1	-22.713.471.483.439.200	-47.628.643.289.208.400	5.480.888.671.875	2025-04-25T19:04:49Z																				
205	1	-22.713.375.007.733.700	-47.628.646.725.788.700	547.608.154.296.875	2025-04-25T19:04:54Z																				
206	1	-22.713.323.375.210.100	-47.628.577.072.173.300	547.608.154.296.875	2025-04-25T19:04:59Z																				
207	1	-22.713.345.503.434.500	-47.628.485.709.428.700	54.712.744.140.625	2025-04-25T19:05:04Z																				
208	1	-22.713.429.322.466.200	-47.628.458.635.881.500	54.712.744.140.625	2025-04-25T19:05:09Z																				
209	1	-22.713.505.513.966.000	-47.628.507.670.015.000	54.712.744.140.625	2025-04-25T19:05:14Z																				
210	1	-22.713.509.956.374.700	-47.628.598.529.845.400	5.480.888.671.875	2025-04-25T19:05:19Z																				
211	1	-22.713.455.809.280.200	-47.628.654.856.234.700	5.480.888.671.875	2025-04-25T19:05:24Z																				
212	1	-22.713.363.440.707.300	-47.628.646.725.788.700	5.480.888.671.875	2025-04-25T19:05:29Z																				
213	1	-22.713.323.207.572.100	-47.628.560.727.462.100	547.608.154.296.875	2025-04-25T19:05:34Z																				
214	1	-22.713.360.087.946.000	-47.628.477.495.163.600	54.712.744.140.625	2025-04-25T19:05:39Z																				
215	1	-22.713.445.164.263.200	-47.628.459.976.986.000	547.608.154.296.875	2025-04-25T19:05:44Z																				
216	1	-22.713.513.895.869.200	-47.628.517.812.117.900	5.480.888.671.875	2025-04-25T19:05:49Z																				
217	1	-22.713.511.297.479.200	-47.628.614.539.280.500	547.608.154.296.875	2025-04-25T19:05:54Z																				
218	1	-22.713.444.661.349.000	-47.628.669.021.651.100	547.608.154.296.875	2025-04-25T19:05:59Z																				
219	1	-22.713.348.520.919.600	-47.628.634.907.305.200	54.712.744.140.625	2025-04-25T19:06:04Z																				
220	1	-22.713.320.441.544.000	-47.628.548.070.788.300	5.466.468.505.859.370	2025-04-25T19:06:09Z																				
221	1	-22.713.369.224.220.500	-47.628.477.662.801.700	546.166.259.765.625	2025-04-25T19:06:14Z																				
222	1	-22.713.451.283.052.500	-47.628.469.867.631.700	546.166.259.765.625	2025-04-25T19:06:19Z																				
223	1	-22.713.514.398.783.400	-47.628.543.628.379.700	54.712.744.140.625	2025-04-25T19:06:24Z																				
224	1	-22.713.493.779.301.600	-47.628.632.225.096.200	547.608.154.296.875	2025-04-25T19:06:29Z																				
225	1	-22.713.409.708.812.800	-47.628.659.633.919.500	54.712.744.140.625	2025-04-25T19:06:34Z																				
226	1	-22.713.328.069.075.900	-47.628.613.617.271.100	5.466.468.505.859.370	2025-04-25T19:06:39Z																				
227	1	-22.713.324.129.581.400	-47.628.522.589.802.700	546.166.259.765.625	2025-04-25T19:06:44Z																				
228	1	-22.713.379.450.142.300	-47.628.455.366.939.300	546.166.259.765.625	2025-04-25T19:06:49Z																				
229	1	-22.713.472.573.086.600	-47.628.473.555.669.100	546.166.259.765.625	2025-04-25T19:06:54Z																				
230	1	-22.713.519.595.563.400	-47.628.553.938.120.600	5.466.468.505.859.370	2025-04-25T19:06:59Z																				
231	1	-22.713.486.738.502.900	-47.628.632.644.191.300	54.712.744.140.625	2025-04-25T19:07:04Z																				
